Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Bosnia and Herzegovina,BIH,4599.90102879933,4803.86129548034,5015.22423408221,5263.84826619226,5476.35576227301,5373.16875734591,5862.45830047874
Botswana,BWA,5869.73294292043,6166.08517932784,6287.59798627756,6418.57188730836,6485.45726726932,5810.94830990799,6366.59221292196
Brazil,BRA,8783.22598387817,8426.85335245502,8470.95078857257,8553.87618653936,8592.22153753537,8204.20272600881,8537.93922013226
British Virgin Islands,VGB,..,..,..,..,..,..,..
Brunei Darussalam,BRN,30681.6794391894,29601.3333300451,29696.1184093173,29438.1006980189,30313.6563877064,30402.0870578242,29673.4033162602
Bulgaria,BGR,7074.68102325059,7341.04761379451,7599.12495683519,7859.6921556743,8234.83966944834,7956.46908962689,8633.98229147066
Burkina Faso,BFA,632.12668368394,650.417258700266,671.251794002939,696.04456847617,716.012194964082,710.471352680813,739.672722391506
Burundi,BDI,289.359633280865,282.97597252123,277.959808886935,274.131914225904,270.137283068899,263.360994217959,261.019379649372
Cabo Verde,CPV,2891.88448249992,2994.19832501322,3068.9902922774,3172.96045914695,3318.93278143055,2801.04915145259,2968.86076992708
Cambodia,KHM,1170.74281578324,1235.32340395796,1304.54938903486,1384.96802283394,1465.96953538762,1404.19865501722,1429.93702682619
Cameroon,CMR,1399.67533119236,1420.02986717381,1429.23468017538,1445.26776644065,1454.56406402385,1419.32820350189,1432.8626845743
Canada,CAN,43596.1355365546,43536.9134032467,44325.4883367463,44917.4837282326,45109.2444855151,42258.6910170917,43936.3081048252
Cayman Islands,CYM,77298.6280551844,78080.2447261331,78886.121110688,80600.6107453471,82139.8961138837,76116.4252337353,76577.822242188
Central African Republic,CAF,351.879753579186,362.218329942542,371.603129779223,378.263076526306,381.414045064669,375.216922803966,370.675749066981
Chad,TCD,774.411600504375,703.46600472984,660.126131518416,653.349759283291,652.703213763469,622.278504175497,595.663784578024
Channel Islands,CHI,..,..,..,..,..,..,..
Chile,CHL,13569.9478008231,13644.62293248,13615.5235299929,13906.7702234013,13765.118249803,12767.3039138968,14115.9601368334
China,CHN,8016.43143498352,8516.51369911163,9053.21273336976,9619.19248413627,10155.4929447833,10358.2594478784,11188.3025403134
Colombia,COL,6228.4262990412,6290.85211704641,6280.66383827747,6320.76208436838,6403.87709573135,5865.65409477439,6418.09775120445
Comoros,COM,1322.93669549676,1337.52778862238,1360.43110397926,1383.37778922977,1381.62215537536,1352.95541062954,1355.5387302206
"Congo, Dem. Rep.",COD,482.0645483336,476.814884582774,477.847871078959,489.382354011428,494.819226947003,487.43311264638,501.239067350859
"Congo, Rep.",COG,2347.81849884859,2045.20225916105,1909.36587547611,1774.61390099667,1731.79987996869,1586.3182966189,1515.89386729403
Costa Rica,CRI,11529.9545258398,11893.3225863446,12267.1613498322,12470.95672073,12662.4221428116,12058.0029125188,12894.2960011178
Cote d'Ivoire,CIV,1941.56633627815,2027.93972934844,2121.60300902248,2210.32581478907,2289.37652106313,2276.83952295318,2377.97343963816
Croatia,HRV,11952.3111753908,12464.4835228917,13045.5193626136,13531.2435029842,14071.9114694775,12920.3443843408,15166.41328825
Cuba,CUB,7683.75789050585,7721.79184608661,7865.37156058191,8048.01660977285,8042.94852386634,7172.51925662898,7291.06788516411
Curacao,CUW,19260.269845345,18890.7587286656,18504.3056623292,18198.6642740608,17796.699906511,14748.8955145068,15633.2333617387
Cyprus,CYP,23487.125,24916.51953125,26101.181640625,27241.0078125,28359.919921875,26814.21484375,28329.203125
Czechia,CZE,17829.6983223668,18247.0117295456,19139.2398841383,19689.5827032979,20206.4256384905,19048.0868543829,20083.8096038696
Denmark,DNK,53254.8563700916,54556.0689545694,55735.7649011485,56563.4884729669,57203.0277943447,55898.7900294456,58359.5839945633
Djibouti,DJI,2409.31190224284,2538.05401932202,2632.91333316916,2714.35164845975,2820.06286565541,2811.64953129263,2905.90680749816
Dominica,DMA,7724.04241057376,7929.80528358816,7370.43311670808,7586.64614100055,7936.3048182003,6566.36420769493,6964.78328182289
Dominican Republic,DOM,6838.93659408348,7209.99004208418,7461.65310335113,7894.95501697125,8205.14240945814,7571.78265216424,8410.60565617264
